ITEM SKU,titre du produit,type de bijoux,stone cut type,pierres secondaires,description ,10k/1ct,"10k 1,5ct",10k/2ct,"10k/2,5ct",10k/3ct,"10k/3,5ct",10k/4ct,,14k/1ct,"14k/1,5ct",14k/2ct,"14k/2,5ct",14k/3ct,"14k/3,5ct",14k/4ct,,18k/1ct,"18k/1,5ct",18k/2ct,"18k/2,5ct",18k/3ct,"18k/3,5ct",18k/4ct
bagues,,,,,,,,,,,,,,bagues,,,,,,,,bagues,,,,,,
R-100768,Vintage Style Marquise Diamond Ring with Black Accents ,bague ,marquise,,Ornate gold ring featuring a marquise diamond center and contrasting black diamond accents.,1499,1831,2219,2549,2864,3399,3849,,1914,2246,2634,2964,3279,3814,4264,,2449,2781,3169,3499,3814,4349,4799
R-113952,Fancy Pink Emerald Cut Diamond Engagement Ring,bague ,emerald,,Rare fancy pink emerald cut diamond flanked by side stones in a luxurious pave setting.,2799,3131,3519,3849,4164,4699,5149,,3214,3546,3934,4264,4579,5114,5564,,3749,4081,4469,4799,5114,5649,6099
R-124711,Fancy Pink Oval Diamond Engagement Ring (Vine Band),bague ,oval,,Exquisite pink oval diamond set on a delicate diamond-accented vine style band.,1499,1831,2219,2549,2864,3399,3849,,1914,2246,2634,2964,3279,3814,4264,,2449,2781,3169,3499,3814,4349,4799
R-129963,5-Stone Emerald Cut Diamond Anniversary Ring,bague ,round/emerald,,Statement ring featuring five brilliant emerald cut diamonds in a graduated design.,1599,1931,2319,2649,2964,3499,3949,,2014,2346,2734,3064,3379,3914,4364,,2549,2881,3269,3599,3914,4449,4899
R-135142,Pear Shaped Diamond Engagement Ring (Pave Band),bague ,oval,,Classic pear shaped solitaire enhanced by a shimmering micropave diamond band.,1499,1831,2219,2549,2864,3399,3849,,1914,2246,2634,2964,3279,3814,4264,,2449,2781,3169,3499,3814,4349,4799
R-137366, Oval Diamond Solitaire Ring,bague ,emerald,,Timeless elegance featuring a brilliant oval cut diamond set in yellow gold.,1899,2231,2619,2949,3264,3799,4249,,2314,2646,3034,3364,3679,4214,4664,,2849,3181,3569,3899,4214,4749,5199
R-145577, Marquise & Pear 3-Stone Diamond Ring,bague ,marquise,,Regal 3-stone ring highlighting a marquise center flanked by two matching pear shape diamonds.,1718,2050,2438,2768,3083,3618,4068,,2133,2465,2853,3183,3498,4033,4483,,2668,3000,3388,3718,4033,4568,5018
R-163614,1 Textured Men's Wedding Band with Diamond,bague ,round,,Masculine rose gold band featuring a rugged bark texture and a single flush-set diamond.,1219,1551,1939,2269,2584,3119,3569,,1634,1966,2354,2684,2999,3534,3984,,2169,2501,2889,3219,3534,4069,4519
R-165442,Oval Diamond Engagement Ring (Pave Band),bague ,oval,,Romantic rose gold ring showcasing a spectacular oval diamond on a slender pave band.,1649,1981,2369,2699,3014,3549,3999,,2064,2396,2784,3114,3429,3964,4414,,2599,2931,3319,3649,3964,4499,4949
R-168340,Oval & Round Diamond Engagement Ring,bague ,oval,,Features a brilliant oval center accented by sparkling round side stones.,2119,2451,2839,3169,3484,4019,4469,,2534,2866,3254,3584,3899,4434,4884,,3069,3401,3789,4119,4434,4969,5419
R-168741,Oval Diamond Engagement Ring (Micropave),bague ,oval,,Classic oval solitaire set on a delicate micropave diamond band.,1499,1831,2219,2549,2864,3399,3849,,1914,2246,2634,2964,3279,3814,4264,,2449,2781,3169,3499,3814,4349,4799
R-185470,Round Diamond Engagement Ring (Pave Band),bague ,round,,Timeless round brilliant solitaire with a shimmering diamond pave shank.,1599,1931,2319,2649,2964,3499,3949,,2014,2346,2734,3064,3379,3914,4364,,2549,2881,3269,3599,3914,4449,4899
R-212805,Oval Diamond Ring with Marquise Side Accents,bague ,oval,,Nature-inspired design featuring an oval center with floral marquise diamond shoulders.,1599,1931,2319,2649,2964,3499,3949,,2014,2346,2734,3064,3379,3914,4364,,2549,2881,3269,3599,3914,4449,4899
R-215073,Two-Tone Oval & Fancy Shape 3-Stone Engagement Ring,bague ,oval,,Stunning oval center flanked by unique geometric side stones on a gold band.,1599,1931,2319,2649,2964,3499,3949,,2014,2346,2734,3064,3379,3914,4364,,2549,2881,3269,3599,3914,4449,4899
R-228512,Elongated Cushion Cut Diamond Ring with Pave Band,bague ,cushion,,Modern elongated cushion cut diamond set on a thin diamond-encrusted band.,1299,1631,2019,2349,2664,3199,3649,,1714,2046,2434,2764,3079,3614,4064,,2249,2581,2969,3299,3614,4149,4599
R-254983,Classic Pear Diamond Engagement Ring with Pave,bague ,pear shape,,Sophisticated pear cut diamond solitaire enhanced by a sparkling diamond shank.,1399,1731,2119,2449,2764,3299,3749,,1814,2146,2534,2864,3179,3714,4164,,2349,2681,3069,3399,3714,4249,4699
R-277444,Wide Band Diamond Ring (Channel & Pave),bague ,round,,Bold statement ring featuring a center round diamond and multi-row diamond band.,1999,2331,2719,3049,3364,3899,4349,,2414,2746,3134,3464,3779,4314,4764,,2949,3281,3669,3999,4314,4849,5299
R-290198,Round Diamond Halo Engagement Ring,bague ,round,,Classic round brilliant diamond surrounded by a glittering diamond halo.,1399,1731,2119,2449,2764,3299,3749,,1814,2146,2534,2864,3179,3714,4164,,2349,2681,3069,3399,3714,4249,4699
R-291937,Floral Diamond Engagement Semi-Mount,bague ,marquise,,Nature-inspired lotus flower setting awaiting your center stone. Pave diamond shank.,1359,1691,2079,2409,2724,3259,3709,,1774,2106,2494,2824,3139,3674,4124,,2309,2641,3029,3359,3674,4209,4659
R-292348,Radiant Cut Diamond Ring (Pave Band),bague ,radiant,,Dazzling radiant cut diamond set in yellow gold with a diamond-encrusted band.,1379,1711,2099,2429,2744,3279,3729,,1794,2126,2514,2844,3159,3694,4144,,2329,2661,3049,3379,3694,4229,4679
R-296893,Vintage Style Round Diamond Solitaire Engagement Ring,bague ,round,,Intricate vintage-inspired basket setting holding a brilliant round diamond.,1119,1451,1839,2169,2484,3019,3469,,1534,1866,2254,2584,2899,3434,3884,,2069,2401,2789,3119,3434,3969,4419
R-297686,Modern Fluted Band Radiant Cut Diamond Bezel Ring,bague ,radiant,,Contemporary architectural ring featuring a ribbed gold band and bezel-set radiant diamond.,1219,1551,1939,2269,2584,3119,3569,,1634,1966,2354,2684,2999,3534,3984,,2169,2501,2889,3219,3534,4069,4519
R-303750,Classic Emerald Cut Diamond Engagement Ring (Pave Band),bague ,emerald,,Timeless emerald cut diamond solitaire on a sparkling micropave white gold band.,1399,1731,2119,2449,2764,3299,3749,,1814,2146,2534,2864,3179,3714,4164,,2349,2681,3069,3399,3714,4249,4699
R-304519,Oval Diamond Engagement Ring (Pave),bague ,oval,,Elegant oval diamond set on a classic diamond pave band.,1799,2131,2519,2849,3164,3699,4149,,2214,2546,2934,3264,3579,4114,4564,,2749,3081,3469,3799,4114,4649,5099
R-328114,Heart Shape Diamond Eternity Ring,bague ,hearth,,Unique flexible link ring design featuring continuous heart-shaped diamonds.,2599,2931,3319,3649,3964,4499,4949,,3014,3346,3734,4064,4379,4914,5364,,3549,3881,4269,4599,4914,5449,5899
R-340402,Round Diamond Eternity Band,bague ,round,,Classic shared-prong diamond eternity band crafted in rich yellow gold.,995,1327,1715,2045,2360,2895,3345,,1410,1742,2130,2460,2775,3310,3760,,1945,2277,2665,2995,3310,3845,4295
R-353371,Two-Tone Men's Diamond Wedding Band,bague ,round,,Bold mixed metal band featuring yellow and white gold with a central diamond row.,1369,1701,2089,2419,2734,3269,3719,,1784,2116,2504,2834,3149,3684,4134,,2319,2651,3039,3369,3684,4219,4669
R-355998,Round Diamond Halo Split Shank Ring,bague ,round,,Glamorous split shank engagement ring featuring a round brilliant diamond surrounded by a glittering halo.,1699,2031,2419,2749,3064,3599,4049,,2114,2446,2834,3164,3479,4014,4464,,2649,2981,3369,3699,4014,4549,4999
R-361407,Round Diamond Vine Engagement Ring,bague ,round,,Nature-inspired yellow gold ring with a twisted vine band adorned with diamond leaves.,1499,1831,2219,2549,2864,3399,3849,,1914,2246,2634,2964,3279,3814,4264,,2449,2781,3169,3499,3814,4349,4799
R-367741,Oval Diamond Solitaire Engagement Ring,bague ,oval,,Timeless and elegant oval solitaire set in gold with a classic 4-prong setting.,1399,1731,2119,2449,2764,3299,3749,,1814,2146,2534,2864,3179,3714,4164,,2349,2681,3069,3399,3714,4249,4699
R-370812,Oval Diamond Ring with Marquise Accents,bague ,oval,,Stunning oval center stone flanked by delicate marquise diamond accents for a floral touch.,1699,2031,2419,2749,3064,3599,4049,,2114,2446,2834,3164,3479,4014,4464,,2649,2981,3369,3699,4014,4549,4999
R-376971,Modern Channel Set Diamond Eternity Band,bague ,oval,,Contemporary eternity band featuring a central row of diamonds driven by rose gold edges.,1499,1831,2219,2549,2864,3399,3849,,1914,2246,2634,2964,3279,3814,4264,,2449,2781,3169,3499,3814,4349,4799
R-390571,Oval Diamond Engagement Ring (Pave Band),bague ,round,,Classic oval solitaire perched on a slender white gold band set with micro-pave diamonds.,1699,2031,2419,2749,3064,3599,4049,,2114,2446,2834,3164,3479,4014,4464,,2649,2981,3369,3699,4014,4549,4999
R-395399,Round Diamond Halo Ring (Double Shank),bague ,round,,Brilliant round diamond halo ring featuring a dramatic split shank design for maximum sparkle.,2299,2631,3019,3349,3664,4199,4649,,2714,3046,3434,3764,4079,4614,5064,,3249,3581,3969,4299,4614,5149,5599
R-410210,Marquise Diamond Bypass Ring,bague ,marquise,,Avant-garde sculptural setting holding a stunning marquise diamond in a floating bypass design.,1789,2121,2509,2839,3154,3689,4139,,2204,2536,2924,3254,3569,4104,4554,,2739,3071,3459,3789,4104,4639,5089
R-410354,Oval Diamond Solitaire Ring,bague ,oval,,Minimalist luxury featuring a brilliant oval cut diamond set in a sleek yellow gold mounting.,1399,1731,2119,2449,2764,3299,3749,,1814,2146,2534,2864,3179,3714,4164,,2349,2681,3069,3399,3714,4249,4699
R-418126,Nature Inspired Ring with Sapphires & Diamonds,bague ,round,,Artistic vine and leaf ring featuring a round diamond center with deep blue sapphire accents.,1899,2231,2619,2949,3264,3799,4249,,2314,2646,3034,3364,3679,4214,4664,,2849,3181,3569,3899,4214,4749,5199
R-427796,3-Stone Emerald Cut Diamond Ring (Baguettes),bague ,emerald,,Sophisticated 3-stone design featuring a crisp emerald cut diamond flanked by tapered baguettes.,1479,1811,2199,2529,2844,3379,3829,,1894,2226,2614,2944,3259,3794,4244,,2429,2761,3149,3479,3794,4329,4779
R-438932,Radiant Cut Diamond Engagement Ring (Pave),bague ,radiant,,Dazzling elongated radiant cut diamond sitting atop a shimmering micropave diamond band.,1789,2121,2509,2839,3154,3689,4139,,2204,2536,2924,3254,3569,4104,4554,,2739,3071,3459,3789,4104,4639,5089
R-441586,Oval Diamond Ring with Marquise Accents,bague ,oval,,Elegant oval solitaire enhanced by floral-inspired marquise and round diamond accents.,1684,2016,2404,2734,3049,3584,4034,,2099,2431,2819,3149,3464,3999,4449,,2634,2966,3354,3684,3999,4534,4984
R-453000,Diamond Semi-Mount with Sapphire Accents,bague ,oval,,Unique ring setting featuring graduated blue sapphires detailing the shank.,1699,2031,2419,2749,3064,3599,4049,,2114,2446,2834,3164,3479,4014,4464,,2649,2981,3369,3699,4014,4549,4999
R-460374,Round Diamond Halo Engagement Ring,bague ,round,,Classic round brilliant diamond surrounded by a precise diamond halo and pave band.,1479,1811,2199,2529,2844,3379,3829,,1894,2226,2614,2944,3259,3794,4244,,2429,2761,3149,3479,3794,4329,4779
R-461474,Oval Diamond Solitaire Engagement Ring,bague ,oval,,Timeless oval cut diamond set in a rich yellow gold mounting.,1379,1711,2099,2429,2744,3279,3729,,1794,2126,2514,2844,3159,3694,4144,,2329,2661,3049,3379,3694,4229,4679
R-469533,Oval Diamond Solitaire Engagement Ring,bague ,oval,,Warm and romantic oval diamond solitaire with a gold setting.,1379,1711,2099,2429,2744,3279,3729,,1794,2126,2514,2844,3159,3694,4144,,2329,2661,3049,3379,3694,4229,4679
R-470260,Emerald Cut Diamond Ring with Baguette Channel Band,bague ,emerald,,Art Deco inspired masterpiece featuring an emerald cut center and bold baguette channel band.,1999,2331,2719,3049,3364,3899,4349,,2414,2746,3134,3464,3779,4314,4764,,2949,3281,3669,3999,4314,4849,5299
R-472084,Sculptural 'Eye' Ring with Oval Diamond,bague ,oval,,Avant-garde modern art ring featuring an eye-shaped bezel holding an oval diamond and gemstone.,1599,1931,2319,2649,2964,3499,3949,,2014,2346,2734,3064,3379,3914,4364,,2549,2881,3269,3599,3914,4449,4899
R-475766,Round Diamond 3-Stone Ring with Pear Accents,bague ,round,,Classic 3-stone ring highlighting a round brilliant center flanked by pear shape diamonds.,1359,1691,2079,2409,2724,3259,3709,,1774,2106,2494,2824,3139,3674,4124,,2309,2641,3029,3359,3674,4209,4659
R-478533,Oval Diamond Ring with Marquise Accents,bague ,oval,,Elegant oval center stone set on a band adorned with delicate marquise diamond motifs.,1379,1711,2099,2429,2744,3279,3729,,1794,2126,2514,2844,3159,3694,4144,,2329,2661,3049,3379,3694,4229,4679
R-482456,Heart Shape Diamond Eternity Band,bague ,hearth,,Romantic eternity ring composed of continuous heart shaped diamonds.,1975,2307,2695,3025,3340,3875,4325,,2390,2722,3110,3440,3755,4290,4740,,2925,3257,3645,3975,4290,4825,5275
R-487900,Wide Band Emerald Cut Diamond Ring (Retro),bague ,emerald,,Bold and substantial yellow gold ring featuring an east-west emerald cut diamond and channel set sides.,1956,2288,2676,3006,3321,3856,4306,,2371,2703,3091,3421,3736,4271,4721,,2906,3238,3626,3956,4271,4806,5256
R-492310,Marquise & Pear 3-Stone Engagement Ring,bague ,marquise,,Dramatic 3-stone engagement ring featuring a marquise center and pear shape side stones.,1678,2010,2398,2728,3043,3578,4028,,2093,2425,2813,3143,3458,3993,4443,,2628,2960,3348,3678,3993,4528,4978
R-503301,Bezel Set Radiant Cut Diamond Ring,bague ,radiant,,Modern and protective bezel setting holding a stunning elongated radiant cut diamond.,1382,1714,2102,2432,2747,3282,3732,,1797,2129,2517,2847,3162,3697,4147,,2332,2664,3052,3382,3697,4232,4682
