item SKU,item name,description,prix 10k
E- 190309,Gold Round Diamond Solitaire Stud Earring (Single),Classic 4-prong basket setting holding a brilliant round diamond.,2299
E-134812,Asymmetrical Multi-Shape Diamond Cluster Earrings (Heart Emerald Pear),Artistic mismatched stud earrings featuring a unique composition of fancy cut diamonds.,2199
E-259091,Gold Round Diamond Stud Earrings (Martini Setting),Elegant 3-prong martini setting maximizes light return for these round brilliant diamond studs.,1799
E-302944,Classic Princess Cut Diamond Stud Earrings,Timeless solitaire stud earrings featuring square Princess-cut diamonds. Secure 4-prong setting in Gold.,2399
E-342834,Multi-Shape Heart & Fancy Cut Diamond Cluster Studs Yellow Gold,Unique cluster earrings combining Heart,2199
E-346463,Mixed Shape Diamond Cluster Earrings (Oval Emerald Round) Gold,Asymmetrical 3-stone diamond cluster studs featuring Oval,2199
E-447337,Gold Round Diamond Solitaire Studs,Timeless essential diamond earrings in a high-polish gold setting.,2099
E-520951,Gold Round Diamond Stud Earrings,Premium round diamonds set in a durable gold 4-prong mounting.,1799
E-528358,Gold Radiant Cut Diamond Stud Earrings (Screw Back),Secure screw-back stud earrings featuring radiant/princess cut diamonds in gold.,2299
E-600528,Gold Princess Cut Diamond Stud Earrings,Sharp and modern square princess cut diamonds set in gold.,2199
E-720338,Mixed Fancy Shape Diamond Cluster Earrings Asymmetrical,Playful and luxurious mismatched studs featuring Emerald,2199
E-770642,Gold Oval Cut Diamond Stud Earrings,Trending oval shape diamonds elongate the earlobe in this classic solitaire setting.,1999
E-780863,Mismatched Mixed Shape Diamond Cluster Earrings (Emerald Heart),Trend-setting asymmetrical studs featuring a curated mix of Emerald,2199
E-915381,Multi-Shape Diamond Cluster Stud Earrings (Princess Pear Oval),Exquisite cluster earrings combining Princess,2199
E-955664,Gold Round Diamond Stud Earrings,Warm and romantic rose gold settings highlight the brilliance of these round diamond studs.,1799